id;Nome;username;Seguidores;Seguindo;Curtidas;Tweets
104210701;MPL - SÃ£o Paulo;mpl_sp;5782;163;193;3243;
105155795;Marina Silva;MarinaSilva;1912861;451;2520;8663;
111804273;PÃ£o e Rosas;Pao_e_Rosas;626;303;539;886;
1242369649;MCC;MCCNacional;7855;301;0;161283;
128372940;Jair Bolsonaro;jairbolsonaro;1165189;187;897;4158;
130203587;LIVRES;EuSouLivres;11532;141;489;2202;
1358541218;Inst. MercadoPopular;OMercadoPopular;5796;211;291;3236;
1523823530;Mov. Brasil Livre;MBLivre;136953;586;568;15596;
1540034828;MÃ­dia NINJA;MidiaNINJA;376788;1828;3806;33665;
185025252;Revoltados ON LINE;revoltadoonline;45541;2888;842;23772;
196461112;Pastor Everaldo 20;Everaldo_20;16050;200;434;5840;
20242549;Cristovam Buarque;Sen_Cristovam;775201;437;343;47564;
218229279;MTST;mtst;29252;47;27;10642;
2620301570;NÃ£o Me Kahlo;NAOKAHLO;92061;1053;4053;12611;
2670726740;Lula pelo Brasil;LulapeloBrasil;332686;470;1279;13284;
2881397717;UBM Oficial;ubmoficial;175;150;0;618;
2884022608;Vem Pra Rua Brasil;VemPraRua_br;103001;464;1379;15714;
2914681581;Levante da Juventude;levantepopular;8931;147;268;9209;
292958831;MAB;MAB_Brasil;4133;899;549;1918;
30934529;Flavio Rocha;flaviogr;25508;597;525;4053;
33374761;Ciro Gomes;cirogomes;156689;53;40;319;
3370878539;Juv. Anticapitalista;Movimento_RUA;631;85;187;4075;
354095556;Fernando Haddad;Haddad_Fernando;596197;206;68;1703;
374296042;NasRuas;NAS_RUAS;14862;2310;2534;29735;
37930894;Levy Fidelix;levyfidelix;20905;433;117;8022;
386160369;CONTAG;ContagBrasil;1401;522;227;1989;
39591928;Michel Temer;MichelTemer;964472;571;1126;14117;
4057681347;ðŸ—£POVO sem MEDOðŸš¶;POVOsemMEDO;3588;452;3838;3533;
43133651;Roberto Justus Ofici;RobertoLJustus;1276308;105;11;2165;
43290742;GeledÃ©s Mulher Negra;geledes;33415;195;119;33266;
4568969112;Frente BrasilPopular;frentebrasilpop;10093;155;278;2873;
4573236382;UJC Brasil;ujc_br;600;41;14;289;
48040416;Fernando Collor;Collor;28335;257;3;3037;
4882965802;FaÃ­sca!;faiscajuventude;658;628;449;588;
529527799;EPL;epliberdade;9827;294;355;6023;
54336513;CUT Brasil;CUT_Brasil;56785;889;3498;18469;
60640635;UNE;uneoficial;65049;649;1798;19400;
62501888;Jaques Wagner;jaqueswagner;64747;668;442;8127;
62902198;UJS;UJSBRASIL;21796;2435;1876;21206;
63739190;EscolaSemPartido;escolasempartid;20565;97;304;1095;
64706049;JoÃ£o Doria;jdoriajr;892919;365;112;13144;
65725706;UBES;ubesoficial;22988;860;238;11547;
735105772590407680;UJR Brasil;ujr_brasil;135;70;15;27;
74215006;Geraldo Alckmin;geraldoalckmin;990303;415;116;32690;
745718394213785600;Ocupapolitica;ocupa_politica;14;1;0;0;
752491629722869760;Bancada Ativista;bancadaativista;299;73;16;43;
762402774260875265;Guilherme Boulos;GuilhermeBoulos;58596;226;387;1490;
76699270;MST Oficial;MST_Oficial;89360;270;546;15131;
785126911144038400;ResistÃªncia;maismovimento;333;238;108;2558;
867780501670567937;Movimento Agora!;agora_movimento;2370;140;420;671;
870030409890910210;Henrique Meirelles;meirelles;46012;172;7;599;
916876097303859200;342 Artes;342Artes;1484;1;6;82;
923257662569148417;RenovaBR;Renova_BR;1804;193;109;150;
96758134;Marcha das Mulheres;marchamulheres;20336;391;157;6229;
